filename,activity
1_20260907161012.csv,0
2_20260907161024.csv,0
3_20260907161036.csv,0
4_20260907161049.csv,0
5_20260907161101.csv,0
6_20260907161113.csv,0
7_20260907161126.csv,0
8_20260907161138.csv,0
9_20260907161150.csv,0
10_20260907161202.csv,0
11_20260907161215.csv,0
12_20260907161227.csv,0
13_20260907161239.csv,0
14_20260907161252.csv,0
15_20260907161305.csv,0
16_20260907161317.csv,0
17_20260907161329.csv,0
18_20260907161342.csv,0
19_20260907161354.csv,0
20_20260907161406.csv,0
21_20260907161419.csv,0
22_20260907161431.csv,0
23_20260907161444.csv,0
24_20260907161456.csv,0
25_20260907161508.csv,0
26_20260907161521.csv,0
27_20260907161533.csv,0
28_20260907161546.csv,0
29_20260907161558.csv,0
30_20260907161610.csv,0
31_20260907161623.csv,0
32_20260907161635.csv,0
33_20260907161647.csv,0
34_20260907161700.csv,0
35_20260907161712.csv,0
36_20260907161724.csv,0
37_20260907161737.csv,0
38_20260907161749.csv,0
39_20260907161802.csv,0
40_20260907161814.csv,0
41_20260907161826.csv,0
42_20260907161839.csv,0
43_20260907161851.csv,0
44_20260907161903.csv,0
45_20260907161915.csv,0
46_20260907161928.csv,0
47_20260907161940.csv,0
48_20260907161952.csv,0
49_20260907162004.csv,1
50_20260907162017.csv,1
51_20260907162029.csv,1
52_20260907162041.csv,1
53_20260907162054.csv,1
54_20260907162106.csv,1
55_20260907162118.csv,1
56_20260907162131.csv,1
57_20260907162143.csv,1
58_20260907162155.csv,1
59_20260907162208.csv,1
60_20260907162220.csv,1
61_20260907162232.csv,1
62_20260907162244.csv,1
63_20260907162257.csv,1
64_20260907162309.csv,1
65_20260907162322.csv,1
66_20260907162334.csv,1
67_20260907162346.csv,1
68_20260907162358.csv,1
69_20260907162411.csv,1
70_20260907162423.csv,1
71_20260907162435.csv,1
72_20260907162447.csv,1
73_20260907162500.csv,1
74_20260907162512.csv,1
75_20260907162524.csv,1
76_20260907162536.csv,1
77_20260907162549.csv,1
78_20260907162601.csv,1
79_20260907162613.csv,1
80_20260907162626.csv,1
81_20260907162638.csv,1
82_20260907162650.csv,1
83_20260907162702.csv,1
84_20260907162715.csv,1
85_20260907162727.csv,1
86_20260907162739.csv,1
87_20260907162751.csv,1
88_20260907162804.csv,1
89_20260907162816.csv,1
90_20260907162828.csv,1
91_20260907162840.csv,1
92_20260907162853.csv,1
93_20260907162905.csv,1
94_20260907162917.csv,1
95_20260907162930.csv,1
96_20260907162942.csv,1
97_20260907162954.csv,1
98_20260907163007.csv,2
99_20260907163019.csv,2
100_20260907163031.csv,2
101_20260907163043.csv,2
102_20260907163056.csv,2
103_20260907163108.csv,2
104_20260907163120.csv,2
105_20260907163133.csv,2
106_20260907163145.csv,2
107_20260907163157.csv,2
108_20260907163209.csv,2
109_20260907163222.csv,2
110_20260907163234.csv,2
111_20260907163246.csv,2
112_20260907163258.csv,2
113_20260907163311.csv,2
114_20260907163323.csv,2
115_20260907163335.csv,2
116_20260907163348.csv,2
117_20260907163400.csv,2
118_20260907163413.csv,2
119_20260907163425.csv,2
120_20260907163437.csv,2
121_20260907163450.csv,2
122_20260907163502.csv,2
123_20260907163514.csv,2
124_20260907163526.csv,2
125_20260907163539.csv,2
126_20260907163551.csv,2
127_20260907163603.csv,2
128_20260907163615.csv,2
129_20260907163628.csv,2
130_20260907163640.csv,2
131_20260907163652.csv,2
132_20260907163705.csv,2
133_20260907163717.csv,2
134_20260907163729.csv,2
135_20260907163742.csv,2
136_20260907163754.csv,2
137_20260907163807.csv,2
138_20260907163819.csv,2
139_20260907163831.csv,2
140_20260907163844.csv,2
141_20260907163856.csv,2
142_20260907163908.csv,2
143_20260907163921.csv,2
144_20260907163933.csv,2
145_20260907163945.csv,2
146_20260907163958.csv,2
147_20260907164010.csv,2
148_20260907164022.csv,2
149_20260907164034.csv,2
150_20260907164047.csv,2
151_20260907164059.csv,2
152_20260907164111.csv,2
153_20260907164124.csv,2
154_20260907164136.csv,2
155_20260907164148.csv,2
156_20260907164201.csv,2
157_20260907164213.csv,2
158_20260907164225.csv,2
159_20260907164237.csv,2
160_20260907164250.csv,2
161_20260907164302.csv,2
162_20260907164314.csv,2
